À½½ÄÀÌ¸§,°Ë»ö·®,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù,10´ë,20´ë,30´ë,40´ë,50´ë,³²¼º,¿©¼º
»÷µåÀ§Ä¡,106000,6.9,7.5,9.2,10.1,9.5,9,8.6,8.6,8.3,8.4,7.1,6.8,5.6,23.7,28.5,30.5,11.7,24.9,75.2
¸·±¹¼ö,48300,4.4,5.4,6.5,9.2,12.6,13.9,14.5,13,7.2,5.4,3.9,4,5.1,22.2,28.1,28.7,16,49,51
½ºÅ×ÀÌÅ©,56600,8.5,7.6,7.6,7.7,7.5,7.3,7.3,7.7,7.5,7.9,8.2,15.2,6.8,22.1,28.6,29.6,13,43.4,56.6
¸¸µÔ±¹,10500,11.9,9.2,6.8,6.6,6.9,6.8,6.5,6.9,7.6,9.2,10.4,11.2,7.1,38.4,37.1,13.8,3.6,25.9,74.1
±èÄ¡Àü,41400,9.1,8.8,10.4,9.2,8.6,9.1,9.8,8,6.9,6.4,6.5,7.2,4,20.8,37.4,29.4,8.4,24.8,75.2
±èÄ¡ººÀ½¹ä,58900,10.1,9.3,9,8.4,7.9,8.1,8.1,8.3,7,7.5,7.7,8.5,6.7,21.9,35.6,25.6,10.2,32.7,67.3
¸¶ÆÄµÎºÎ,36000,9.2,8,8.8,8.2,7.6,8.4,7.6,9.1,8.5,8,7.9,8.7,4,15.8,30.5,34.2,15.5,24,76
¼öÁ¦ºñ,60900,7.5,7.1,7.7,7.4,8.6,7.7,8.6,9.7,8.9,9.9,8.5,8.6,2.9,16.9,31.9,34.2,14.1,29.9,70.1
Äá³ª¹°±¹,80100,9.6,8.7,9.7,8.4,7.5,7.5,7.2,8.2,8.4,8.5,8.1,8.2,1.5,16.6,42.5,28.9,10.5,24.5,75.5
¼Ò°í±â¹µ±¹,11000,9.7,8.8,7.1,6.1,6.1,5,4.8,6.1,12.3,9.6,12.7,11.6,5.4,24.8,42.6,17.9,9.2,20.4,79.6
¿À¹Ç¶óÀÌ½º,29400,9.9,9,9.7,8,8.4,8.2,8.7,8.4,6.7,7,7.1,8.9,7.3,20.7,36,28.4,7.6,22.7,77.3
ÇÏÀÌ¶óÀÌ½º,25300,8.3,7.8,8.9,8.6,7.8,8.6,8.1,8.3,8.1,7.6,9.7,8.1,10.2,24.8,31.6,23.4,10.1,33.3,66.7
°¨ÀÚÆ¢±è,23100,8.2,8.1,8.5,8,7.9,10.3,9.9,8.8,7.7,7.5,7.2,7.9,6.4,22.9,33.7,27.7,9.3,37.1,62.9
´ß²¿Ä¡,40400,6.7,6.8,7.8,8.8,9.3,8.6,9.8,9,8.2,8.8,8,8.1,6.7,26.6,31.2,27.3,8.2,46.3,53.7
Âò´ß,63500,8.3,8.5,9.1,8.4,8.5,8.3,9.1,8.9,7.4,7.6,7.8,8.1,6.8,23.5,28.9,29.3,11.4,35.6,64.4
Á¦À°ººÀ½,77100,9,8.9,9.9,9,8.4,8.5,8,8.4,7,7.6,7.5,7.9,3.1,18.8,34.9,30.9,12.3,31.9,68.1
°¥ºñÂò,66400,12.3,10.5,6.7,6.6,6.5,6.3,6.7,7.7,13.2,7.9,7.3,8.4,2.1,16.4,28,30.1,23.4,29.8,70.2
°¥ºñÅÁ,113000,8.8,8.4,7.8,7.3,7.3,7.4,8.2,9.1,9.3,8.9,8.7,9,2.4,14.8,28.7,35.1,19,40.9,59.1
ÁÖ¸Ô¹ä,31000,7.3,7.1,8.6,10.6,9.8,9,8.3,8.7,8.1,9,7,6.4,4.1,17.6,33.3,35.1,9.9,20.9,79.1
ÇªÆÌÆþÄ¿¸®,26800,7.6,7.8,8,7.1,7.9,8.5,8.8,9.9,10.8,8.8,7.3,7.4,6,34.8,32.1,19.2,7.9,36.9,63.1
ººÀ½¹ä,51800,8.9,8.4,8.8,8.6,8.4,8.8,9.1,9.2,7.4,7.6,7.4,7.6,5,17.1,27.2,32.1,18.6,38.9,61.1
²ã¹Ù·Î¿ì,47300,7.4,9.7,8.1,7.3,10.1,7.7,11.8,7.9,7.4,7.6,7.6,7.5,15.9,24.5,19.4,26.2,14,41,59
